word,mul_info,left_entropy,right_entropy,head_prob,tail_prob
或者,1.000000,1.000000,1.000000,0.086653,0.086653
和国,0.210829,0.210040,0.795782,0.333561,0.333561
第二,0.418666,0.302907,0.242765,0.260400,0.260400
五十,0.201778,0.137866,0.510875,0.241434,0.241434
三十,0.260419,0.099679,0.519290,0.178070,0.178070
四十,0.221259,0.051997,0.477977,0.238546,0.238546
其他,0.578954,0.442119,0.827002,0.034439,0.034439
根据,0.281163,0.547733,0.807895,0.043679,0.043679
七十,0.115265,0.023890,0.488988,0.379925,0.379925
他人,0.027822,0.552264,0.609119,0.125357,0.125357
一百,0.094984,0.143533,0.380773,0.136060,0.136060
十四,0.169907,0.454757,0.061996,0.118404,0.118404
按照,0.446396,0.538514,0.636051,0.020663,0.020663
及其,0.186568,0.583983,0.577675,0.023772,0.023772
结果,0.049685,0.516824,0.578787,0.047968,0.047968
第十,0.316467,0.271996,0.505333,0.027411,0.027411
通过,0.099366,0.565402,0.758915,0.021104,0.021104
以及,0.166872,0.920714,0.887288,0.011406,0.011406
域内,0.073277,0.108125,0.606072,0.059694,0.059694
害性,0.022656,0.164714,0.341191,0.088557,0.088557
可以,0.295506,0.523032,0.770440,0.009075,0.009075
任何,0.104074,0.483490,0.450533,0.019752,0.019752
但是,0.057184,0.192475,0.126958,0.079007,0.079007
五百,0.005980,0.137070,0.142720,0.259263,0.259263
而不,0.003547,0.326365,0.323282,0.144392,0.144392
漠化,0.009535,0.129073,0.292633,0.143905,0.143905
虫病,0.002691,0.217419,0.215365,0.234512,0.234512
有关,0.683768,0.754796,0.607799,0.004683,0.004683
权人,0.029153,0.180747,0.600333,0.044501,0.044501
的建,0.057703,0.771058,0.204895,0.021663,0.021663
各种,0.017794,0.529785,0.608181,0.025027,0.025027
者不,0.030608,0.064870,0.570979,0.055501,0.055501
的地,0.029749,0.664873,0.323825,0.021663,0.021663
的水,0.043912,0.769331,0.598072,0.010832,0.010832
对其,0.025918,0.509578,0.636616,0.016500,0.016500
筑物,0.055653,0.131951,0.471613,0.025583,0.025583
发区,0.005561,0.187812,0.412517,0.070465,0.070465
百零,0.025494,0.029800,0.452988,0.076492,0.076492
治区,0.196441,0.004494,0.056333,0.196050,0.196050
每一,0.002765,0.278576,0.218514,0.103317,0.103317
五千,0.008901,0.165979,0.056174,0.144860,0.144860
久性,0.010673,0.193977,0.354096,0.045997,0.045997
填埋,0.017685,0.258475,0.254593,0.036300,0.036300
的海,0.014729,0.662991,0.294485,0.021663,0.021663
依照,0.212456,0.546477,0.407417,0.004938,0.004938
获物,0.012014,0.137619,0.377500,0.040700,0.040700
合国,0.046504,0.021901,0.104483,0.095369,0.095369
同时,0.043311,0.351601,0.472271,0.011224,0.011224
会主,0.039493,0.113713,0.150732,0.035426,0.035426
的物,0.010159,0.481832,0.297787,0.021663,0.021663
制性,0.037702,0.140160,0.421098,0.017500,0.017500
副主,0.011459,0.282520,0.122386,0.039503,0.039503
拦河,0.002359,0.133103,0.131846,0.122101,0.122101
的事,0.010445,0.574194,0.212559,0.021663,0.021663
伐林,0.006194,0.215314,0.067337,0.081401,0.081401
域自,0.005480,0.215007,0.140687,0.059694,0.059694
与其,0.005340,0.396016,0.319056,0.029584,0.029584
关的,0.037958,0.240586,0.772619,0.009137,0.009137
作为,0.027429,0.613720,0.644635,0.007091,0.007091
染源,0.007010,0.048889,0.399236,0.058396,0.058396
定的,0.306740,0.335137,0.872459,0.002166,0.002166
置不,0.003649,0.203742,0.273606,0.044279,0.044279
在一,0.002231,0.326365,0.323282,0.041146,0.041146
一万,0.025592,0.103898,0.059524,0.049998,0.049998
