word,mul_info,left_entropy,right_entropy,head_prob,tail_prob
污染物排放标准,0.136684,0.537970,0.576945,0.379630,0.307116
控制性详细规划,0.041873,0.510198,0.483137,0.507246,0.304167
部门会同国务院,0.266867,0.371611,0.540087,0.126761,0.127424
国家监察委员会,0.024945,0.699601,0.494045,0.097527,0.744538
农业和农村经济,0.029754,0.719897,0.371473,0.193042,0.305709
级人民政府组织,0.010195,0.404760,0.454865,0.339286,0.605114
违反本法第二十,0.072548,0.405746,0.619584,0.093333,0.196527
经济和社会发展,0.140296,0.183423,0.358902,0.305709,0.118442
环境影响报告书,0.181681,0.670162,0.575486,0.347826,0.012121
国务院有关部门,0.320356,0.462382,0.714922,0.018242,0.126761
中国共产党领导,0.015352,0.474195,0.375793,0.315096,0.228261
保护和改善环境,0.029263,0.566248,0.383796,0.084531,0.347826
污染环境的措施,0.019974,0.160942,0.264786,0.379630,0.571429
建设项目的环境,0.053876,0.489053,0.162899,0.117526,0.347826
级人民政府管理,0.012106,0.307298,0.285846,0.339286,0.387978
级人民代表大会,0.133972,0.338711,0.686120,0.339286,0.012907
科学技术的研究,0.012060,0.489000,0.141425,0.190844,0.809984
部门和有关部门,0.046183,0.303401,0.562418,0.126761,0.126761
任何单位和个人,0.112924,0.493938,0.463223,0.014706,0.328042
放射性固体废物,0.078277,0.779744,0.668809,0.047325,0.050505
级人民政府批准,0.045275,0.286528,0.370168,0.339286,0.058824
级人民政府环境,0.009748,0.404760,0.190209,0.339286,0.347826
国务院生态环境,0.207531,0.544731,0.118576,0.018242,0.347826
违反本法第三十,0.038793,0.315194,0.529481,0.093333,0.132580
固体废物的单位,0.073587,0.309654,0.619584,0.067164,0.082515
级人民政府负责,0.010107,0.404760,0.376505,0.339286,0.136364
行政法规的规定,0.076787,0.156944,0.639070,0.108902,0.083333
建筑和装修材料,0.011970,0.404760,0.454865,0.063230,0.489796
级人民政府应当,0.284100,0.167980,0.799922,0.339286,0.005085
国务院环境保护,0.206479,0.712617,0.247526,0.018242,0.084531
环境的监督管理,0.010011,0.152039,0.268569,0.347826,0.387978
放射性污染防治,0.120622,0.628129,0.571935,0.047325,0.026578
人民政府水行政,0.140599,0.344588,0.041840,0.242506,0.108902
部门的监督检查,0.020753,0.302322,0.324751,0.126761,0.204787
水行政主管部门,0.316604,0.486932,0.831412,0.003235,0.126761
太阳能利用系统,0.006844,0.333795,0.310493,0.118729,0.603125
进行无害化处理,0.011207,0.320520,0.298145,0.113703,0.405738
污染防治的科学,0.008126,0.421202,0.195900,0.379630,0.190844
企业未按照规定,0.008141,0.315902,0.293849,0.770950,0.083333
或者村民委员会,0.016237,0.124607,0.493988,0.064516,0.744538
组织单位和个人,0.010805,0.152039,0.141425,0.605114,0.328042
污染环境的防治,0.044935,0.215120,0.468607,0.379630,0.026578
决定的行政机关,0.043944,0.306935,0.526877,0.086093,0.074642
级人民政府或者,0.026874,0.254305,0.303859,0.339286,0.064516
强制性国家标准,0.026594,0.575395,0.401487,0.023419,0.307116
国务院经济综合,0.043496,0.441179,0.183493,0.018242,0.658537
单位和其他组织,0.016123,0.124607,0.416891,0.082515,0.605114
十万元以下罚款,0.063294,0.401899,0.234378,0.056864,0.122449
全国可再生能源,0.021468,0.556324,0.193241,0.175279,0.099609
灾害性天气警报,0.037167,0.418627,0.472432,0.166667,0.031884
促进可再生能源,0.011460,0.404760,0.141425,0.586207,0.099609
