word,mul_info,left_entropy,right_entropy,head_prob,tail_prob
环境保护行政主管部门,0.405505,0.522728,0.941417,0.347826,0.126761
县级以上地方人民政府,1.000000,0.718544,1.000000,0.026316,0.376324
人民政府及其有关部门,0.163774,0.406661,0.654893,0.242506,0.126761
人民政府卫生行政部门,0.081328,0.393957,0.797597,0.242506,0.126761
长江流域省级人民政府,0.080576,0.422279,0.808865,0.061879,0.376324
国家重点保护野生动物,0.135072,0.778162,0.671047,0.097527,0.089686
人民政府应当采取措施,0.089772,0.277815,0.137636,0.242506,0.571429
人民政府林业主管部门,0.119432,0.138651,0.809807,0.242506,0.126761
固体废物污染环境防治,0.281049,1.000000,0.807297,0.067164,0.026578
循环经济发展综合管理,0.056039,0.214798,0.136869,0.594203,0.387978
野生动物保护主管部门,0.137227,0.384246,0.782635,0.066079,0.126761
全国人民代表大会代表,0.040671,0.403024,0.647138,0.175279,0.160121
土壤污染风险管控标准,0.048897,0.525205,0.573509,0.055556,0.307116
国家海洋行政主管部门,0.054144,0.445983,0.763748,0.097527,0.126761
经济综合宏观调控部门,0.044942,0.195695,0.614247,0.305709,0.126761
农民专业合作经济组织,0.031131,0.537630,0.608539,0.033670,0.605114
工业固体废物污染环境,0.042777,0.467669,0.210631,0.140459,0.347826
申请人提交的申请材料,0.025233,0.439521,0.320684,0.110656,0.489796
国家清洁生产推行规划,0.030344,0.466316,0.410888,0.097527,0.304167
申请人民法院强制执行,0.026771,0.482849,0.392644,0.110656,0.282486
部门或者其他有关部门,0.050651,0.308122,0.622339,0.126761,0.126761
符合国家环境保护标准,0.019934,0.303002,0.294769,0.271605,0.307116
污染物的企业事业单位,0.042132,0.466101,0.234081,0.379630,0.082515
地方人民政府生态环境,0.158853,0.529154,0.119282,0.040057,0.347826
国务院水行政主管部门,0.124919,0.580595,0.783073,0.018242,0.126761
环境质量限期达标规划,0.021147,0.130026,0.332797,0.347826,0.304167
符合土地利用总体规划,0.010343,0.329641,0.320684,0.271605,0.304167
企业应当按照国家规定,0.009765,0.439521,0.320684,0.770950,0.083333
监督检查人员依法执行,0.016926,0.421565,0.196322,0.215976,0.282486
地方水污染物排放标准,0.026454,0.550117,0.469730,0.040057,0.307116
环境卫生行政主管部门,0.018984,0.216514,0.454962,0.347826,0.126761
长江流域生态环境保护,0.054336,0.820700,0.344995,0.061879,0.084531
人民政府其他有关部门,0.021773,0.343107,0.333785,0.242506,0.126761
部门会同同级有关部门,0.029077,0.254214,0.624677,0.126761,0.126761
人民法院和人民检察院,0.009758,0.329641,0.320684,0.242506,0.282282
环境保护目标完成情况,0.021279,0.252468,0.478017,0.347826,0.077093
土壤污染风险评估报告,0.040268,0.538594,0.523961,0.055556,0.103659
国家水污染物排放标准,0.016483,0.421565,0.311950,0.097527,0.307116
人民政府应当统筹规划,0.013193,0.213376,0.293095,0.242506,0.304167
污染防治科学技术研究,0.004162,0.219760,0.213789,0.379630,0.809984
人民政府市场监督管理,0.029364,0.213376,0.100266,0.242506,0.387978
环境保护主管部门或者,0.018963,0.554157,0.245609,0.347826,0.064516
标准中未作规定的项目,0.019889,0.303002,0.126493,0.307116,0.230769
人民政府有关主管部门,0.009182,0.439521,0.427579,0.242506,0.126761
单位和其他生产经营者,0.162068,0.228824,0.779914,0.082515,0.021622
行政主管部门负责组织,0.006617,0.348312,0.338848,0.108902,0.605114
土壤污染重点监管单位,0.037731,0.494819,0.588269,0.055556,0.082515
森林资源保护发展目标,0.010836,0.439521,0.320684,0.244792,0.132743
国家标准或者行业标准,0.012917,0.301281,0.410888,0.097527,0.307116
清洁生产综合协调部门,0.074337,0.470367,0.477022,0.021635,0.126761
工作实施统一监督管理,0.023585,0.178287,0.204048,0.125909,0.387978
城镇污水集中处理设施,0.040975,0.584832,0.289050,0.108479,0.055690
