word,mul_info,left_entropy,right_entropy,head_prob,tail_prob
级人民代表大会常务委员会,0.094590,0.465410,0.885860,0.339286,0.744538
人民政府生态环境主管部门,0.544465,0.532700,0.921647,0.242506,0.126761
人民政府草原行政主管部门,0.186326,0.509974,0.903882,0.242506,0.126761
人民政府环境保护主管部门,0.197020,0.537118,0.773593,0.242506,0.126761
人民政府城乡规划主管部门,0.166660,0.524417,0.897589,0.242506,0.126761
人民政府渔业行政主管部门,0.121507,0.578854,0.823183,0.242506,0.126761
人民政府土地行政主管部门,0.148338,0.446731,0.850567,0.242506,0.126761
循环经济发展综合管理部门,0.088845,0.308945,0.569425,0.594203,0.126761
国务院核安全监督管理部门,0.348937,0.876991,0.943745,0.018242,0.126761
国家核事故应急协调委员会,0.026689,0.595681,0.567422,0.097527,0.744538
固体废物污染环境防治工作,0.110409,0.931466,0.656715,0.067164,0.125909
农民或者农业生产经营组织,0.055174,0.607780,0.646724,0.033670,0.605114
人民政府农业农村主管部门,0.041374,0.435663,0.610938,0.242506,0.126761
人民政府地质矿产主管部门,0.035272,0.427339,0.616226,0.242506,0.126761
人民政府农业行政主管部门,0.045461,0.305733,0.666040,0.242506,0.126761
级人民政府水行政主管部门,0.022619,0.471706,0.567422,0.339286,0.126761
人民政府海洋行政主管部门,0.046404,0.236857,0.720345,0.242506,0.126761
人民政府应当组织有关部门,0.023267,0.595681,0.567422,0.242506,0.126761
县级以上地方人民政府环境,0.188378,0.660822,0.206583,0.026316,0.347826
人民政府市场监督管理部门,0.047874,0.284616,0.557429,0.242506,0.126761
国务院标准化行政主管部门,0.135643,0.792516,0.929483,0.018242,0.126761
县级以上地方各级人民政府,0.071414,0.500345,0.650338,0.026316,0.376324
人民政府环境卫生主管部门,0.035044,0.356069,0.546405,0.242506,0.126761
污染物排放总量的建设项目,0.018923,0.619879,0.198256,0.379630,0.230769
长江流域地方各级人民政府,0.055454,0.273147,0.420796,0.061879,0.376324
人民政府或者其授权的部门,0.029732,0.452248,0.356580,0.242506,0.126761
沿海县级以上地方人民政府,0.024619,0.223754,0.469671,0.142857,0.376324
人民政府有关行政主管部门,0.016800,0.464909,0.488750,0.242506,0.126761
地方人民政府及其有关部门,0.104670,0.328002,0.672729,0.040057,0.126761
单位应当按照国家有关规定,0.035475,0.870110,0.546405,0.082515,0.083333
符合国家标准或者行业标准,0.012426,0.491242,0.224409,0.271605,0.307116
国家土壤污染风险管控标准,0.019411,0.464909,0.366563,0.097527,0.307116
环境保护行政主管部门或者,0.046150,0.379488,0.241058,0.347826,0.064516
县级以上地方人民政府组织,0.018082,0.619879,0.488750,0.026316,0.605114
固体废物污染环境防治设施,0.048672,0.638108,0.666040,0.067164,0.055690
国家大气污染防治重点区域,0.043773,0.852334,0.427657,0.097527,0.047319
人民政府及其有关部门组织,0.006125,0.309939,0.244375,0.242506,0.605114
环境影响评价文件审批部门,0.013832,0.284616,0.387325,0.347826,0.126761
人民政府及其有关部门应当,0.121262,0.541017,0.810749,0.242506,0.005085
地区县级以上地方人民政府,0.011852,0.284616,0.224409,0.227468,0.376324
环境保护行政主管部门申请,0.017963,0.251447,0.366563,0.347826,0.110656
县级以上人民政府生态环境,0.088336,0.367674,0.212214,0.026316,0.347826
县级以上人民政府有关部门,0.057907,0.462155,0.695333,0.026316,0.126761
固体废物污染环境防治技术,0.019012,0.464909,0.198256,0.067164,0.497288
国务院管理节能工作的部门,0.076694,0.640655,0.511494,0.018242,0.126761
县级以上地方人民政府负责,0.065506,0.551901,0.422665,0.026316,0.136364
人民政府经济综合主管部门,0.018134,0.251447,0.366563,0.242506,0.126761
县级以上人民政府环境保护,0.147140,0.630050,0.244375,0.026316,0.084531
噪声敏感建筑物集中区域内,0.035625,0.201468,0.356580,0.437500,0.044444
或者县级以上地方人民政府,0.017640,0.309939,0.366563,0.064516,0.376324
城镇污水处理设施建设规划,0.012581,0.491242,0.224409,0.108479,0.304167
环境保护行政主管部门责令,0.094020,0.427226,0.377597,0.347826,0.008547
人民政府交通运输主管部门,0.012632,0.284616,0.387325,0.242506,0.126761
环境保护主管部门或者其他,0.023704,0.595681,0.335026,0.347826,0.025641
人民政府自然资源主管部门,0.012178,0.284616,0.387325,0.242506,0.126761
目标责任制和考核评价制度,0.026666,0.471706,0.237276,0.132743,0.102606
人民政府应当统筹规划建设,0.012313,0.284616,0.387325,0.242506,0.117526
县级以上地方人民政府应当,0.400357,0.691342,1.000000,0.026316,0.005085
农业专业技术人员继续教育,0.007835,0.309939,0.244375,0.193042,0.322511
防治工作实施统一监督管理,0.031208,0.491242,0.224409,0.026578,0.387978
各级人民政府及其有关部门,0.117833,0.593883,0.584924,0.006211,0.126761
地方土壤污染风险管控标准,0.013247,0.491242,0.387325,0.040057,0.307116
环境保护行政主管部门应当,0.045891,0.569232,0.666040,0.347826,0.005085
行政区域固体废物污染环境,0.012239,0.284616,0.224409,0.108902,0.347826
监督检查人员依法执行职务,0.019081,0.619879,0.198256,0.215976,0.058140
机关申请人民法院强制执行,0.012587,0.284616,0.387325,0.074642,0.282486
行业专项清洁生产推行规划,0.019339,0.309939,0.244375,0.065341,0.304167
生态环境主管部门或者其他,0.088994,0.784345,0.409034,0.037634,0.025641
环境保护行政主管部门报告,0.011944,0.284616,0.224409,0.347826,0.103659
单位和其他生产经营者违反,0.024943,0.424912,0.335026,0.082515,0.093333
噪声对周围生活环境的影响,0.013964,0.284616,0.224409,0.437500,0.069444
建设项目环境影响评价文件,0.046520,0.852334,0.427657,0.117526,0.013498
野生动物保护主管部门或者,0.041913,0.328932,0.442631,0.066079,0.064516
主管部门或者其他有关部门,0.040835,0.464909,0.587878,0.017982,0.126761
环境保护行政主管部门提出,0.017822,0.464909,0.366563,0.347826,0.023460
直接责任人员依法给予处分,0.184055,0.145360,0.329875,0.055375,0.049180
污染物排放总量控制指标的,0.025430,0.595681,0.371921,0.379630,0.011236
单位和其他生产经营者进行,0.024275,0.300936,0.335026,0.082515,0.113703
环境保护行政主管部门备案,0.035674,0.449045,0.144590,0.347826,0.027273
地方人民政府应当采取措施,0.029624,0.201468,0.158849,0.040057,0.571429
固体废物污染环境防治信息,0.013061,0.284616,0.387325,0.067164,0.221889
的人民代表大会常务委员会,0.006675,0.309939,0.244375,0.056452,0.744538
气象预报和灾害性天气警报,0.034925,0.387929,0.468784,0.102524,0.031884
收入百分之五十以下的罚款,0.019675,0.309939,0.244375,0.104034,0.122449
地方人民政府卫生行政部门,0.028965,0.201468,0.631701,0.040057,0.126761
直接负责的主管人员和其他,0.505402,0.376953,0.067495,0.055375,0.025641
涉及饮用水卫生安全的产品,0.013418,0.491242,0.387325,0.033333,0.184492
国家有关环境影响评价标准,0.006816,0.309939,0.244375,0.097527,0.307116
人民政府卫生行政部门负责,0.006073,0.309939,0.244375,0.242506,0.136364
部门在各自职责范围内负责,0.013526,0.284616,0.224409,0.126761,0.136364
档案机构或者档案工作人员,0.007155,0.309939,0.244375,0.581818,0.047271
繁育国家重点保护野生动物,0.039296,0.183383,0.616226,0.037383,0.089686
根据国家清洁生产推行规划,0.019362,0.309939,0.244375,0.032520,0.304167
人民政府发展计划主管部门,0.006216,0.309939,0.244375,0.242506,0.126761
国家清洁生产推行规划确定,0.019039,0.309939,0.244375,0.097527,0.102041
行政主管部门责令限期改正,0.061317,0.578854,0.329561,0.108902,0.011173
其所属的渔政监督管理机构,0.037521,0.427339,0.546405,0.025641,0.062372
本法适用于中华人民共和国,0.036930,0.305361,0.280747,0.017348,0.248349
质量监督检验行政主管部门,0.006635,0.309939,0.244375,0.211679,0.126761
级人民政府的不适当的决定,0.005975,0.309939,0.244375,0.339286,0.086093
施工过程中产生的固体废物,0.024783,0.471706,0.371921,0.059585,0.050505
工业固体废物污染环境防治,0.030616,0.491242,0.224409,0.140459,0.026578
被征地的农村集体经济组织,0.013570,0.491242,0.224409,0.013605,0.605114
县级以上地方人民政府林业,0.059131,0.712829,0.267785,0.026316,0.040678
县级以上地方人民政府农业,0.011926,0.491242,0.387325,0.026316,0.193042
使用有利于保护环境的产品,0.006342,0.309939,0.244375,0.127119,0.184492
县级以上地方人民政府管理,0.017580,0.309939,0.198256,0.026316,0.387978
符合国土空间用途管制要求,0.007503,0.309939,0.244375,0.271605,0.070946
人民代表大会每届任期相同,0.046770,0.251447,0.233240,0.242506,0.015782
国务院有关部门和长江流域,0.103011,0.382225,0.377958,0.018242,0.037829
用于传染病防治的消毒产品,0.026191,0.595681,0.567422,0.006240,0.184492
地方规定的污染物排放标准,0.012016,0.284616,0.224409,0.040057,0.307116
环境保护行政主管部门批准,0.006024,0.309939,0.244375,0.347826,0.058824
行政主管部门负责制定全国,0.005996,0.309939,0.244375,0.108902,0.175279
燃油发电机组或者燃油锅炉,0.008494,0.309939,0.244375,0.056180,0.229508
万元以上十万元以下的罚款,0.193768,0.444514,0.357094,0.002199,0.122449
人民政府有关部门应当加强,0.011823,0.491242,0.387325,0.242506,0.015138
负责审批建设项目环境影响,0.013464,0.284616,0.224409,0.136364,0.069444
按照规定进行土壤污染状况,0.025441,0.471706,0.176421,0.015385,0.233010
主管部门应当会同有关部门,0.023344,0.300936,0.469671,0.017982,0.126761
部门应当会同同级有关部门,0.006164,0.309939,0.244375,0.126761,0.126761
大气环境质量限期达标规划,0.032710,0.555561,0.356580,0.003741,0.304167
环境保护行政主管部门申报,0.006120,0.309939,0.244375,0.347826,0.045082
主管部门责令停止违法行为,0.184706,0.453326,0.084338,0.017982,0.053977
人民政府卫生行政部门责令,0.035259,0.356069,0.240765,0.242506,0.008547
行政部门以及其他有关部门,0.005935,0.309939,0.244375,0.108902,0.126761
排放的放射性废液进行处理,0.006909,0.309939,0.244375,0.029197,0.405738
排放污染物的企业事业单位,0.024465,0.595681,0.176421,0.029197,0.082515
主管部门或者流域管理机构,0.114005,0.088766,0.541286,0.017982,0.062372
其他直接责任人员依法给予,0.278369,0.047651,0.315777,0.025641,0.057143
报国务院环境保护主管部门,0.023655,0.595681,0.176421,0.018293,0.126761
从事治理或者开发利用活动,0.006746,0.309939,0.244375,0.036145,0.301333
采取有效措施防治扬尘污染,0.013883,0.284616,0.224409,0.016393,0.379630
国家重点保护野生动物名录,0.026036,0.595681,0.469671,0.097527,0.007605
环境保护行政主管部门提供,0.006193,0.309939,0.244375,0.347826,0.032258
取得县级以上地方人民政府,0.006239,0.309939,0.244375,0.029557,0.376324
国务院财政部门会同国务院,0.018219,0.251447,0.488750,0.018242,0.127424
生态环境主管部门应当会同,0.112727,0.421817,0.622287,0.037634,0.004587
县级以上地方人民政府根据,0.036172,0.356069,0.450230,0.026316,0.032520
农村集体经济组织及其成员,0.020033,0.619879,0.488750,0.062851,0.012639
部门应当按照国家有关规定,0.005959,0.309939,0.244375,0.126761,0.083333
固体废物污染环境防治目标,0.006655,0.309939,0.244375,0.067164,0.132743
部门或者其他有关部门举报,0.006377,0.309939,0.244375,0.126761,0.071038
建筑垃圾污染环境防治工作,0.007033,0.309939,0.244375,0.063230,0.125909
提高劳动生产率和经济效益,0.007641,0.309939,0.244375,0.076246,0.090909
机动车大气污染物排放标准,0.006966,0.309939,0.244375,0.024540,0.307116
地方各级人民政府应当采取,0.047557,0.680987,0.186753,0.040057,0.016393
规定进行土壤污染风险评估,0.007071,0.309939,0.244375,0.083333,0.082474
野生动物保护主管部门应当,0.035747,0.571024,0.520051,0.066079,0.005085
村公共设施和公益事业建设,0.019076,0.309939,0.488750,0.009967,0.117526
主管部门应当加强监督管理,0.006366,0.309939,0.244375,0.017982,0.387978
委员会对全国人民代表大会,0.006683,0.309939,0.244375,0.514658,0.012907
环境保护主管部门应当会同,0.017814,0.309939,0.366563,0.347826,0.004587
入国民经济和社会发展计划,0.038022,0.183383,0.354055,0.005333,0.239852
国家重点保护野生动物或者,0.006591,0.309939,0.244375,0.097527,0.064516
野生动物保护主管部门意见,0.006756,0.309939,0.244375,0.066079,0.092141
超过土壤污染风险管控标准,0.020310,0.251447,0.198256,0.009967,0.307116
野生动物保护主管部门批准,0.012390,0.284616,0.224409,0.066079,0.058824
地方各级人民政府应当根据,0.012257,0.491242,0.387325,0.040057,0.032520
煤炭管理部门责令停止作业,0.006996,0.309939,0.244375,0.114155,0.049630
林业草原行政主管部门负责,0.006365,0.309939,0.244375,0.040678,0.136364
按照国务院规定的权限决定,0.024213,0.223754,0.371921,0.015385,0.086093
依法申请行政复议或者提起,0.044772,0.483902,0.132834,0.077206,0.011730
海洋行政主管部门审查批准,0.012556,0.491242,0.224409,0.031822,0.058824
野生动物保护主管部门规定,0.006177,0.309939,0.244375,0.066079,0.083333
人民政府有关部门责令改正,0.023943,0.223754,0.176421,0.242506,0.011173
市场监督管理部门责令停止,0.006948,0.309939,0.244375,0.112877,0.040816
本法第二十八条第二款规定,0.017574,0.464909,0.198256,0.017348,0.083333
县级以上地方人民政府土地,0.017713,0.251447,0.198256,0.026316,0.100358
省级以上人民政府环境保护,0.041280,0.561387,0.233240,0.005021,0.084531
县级以上地方人民政府或者,0.011829,0.491242,0.224409,0.026316,0.064516
会同本级人民政府有关部门,0.040920,0.168472,0.526785,0.004587,0.126761
