word,mul_info,left_entropy,right_entropy,head_prob,tail_prob
行政主管部门,1.000000,0.678912,0.924660,0.108902,0.126761
环境噪声污染,0.108441,0.781586,0.319894,0.347826,0.379630
企业事业单位,0.170768,0.709265,0.450401,0.770950,0.082515
地方人民政府,0.733914,0.308632,0.850719,0.040057,0.376324
环境质量标准,0.080484,0.511483,0.554822,0.347826,0.307116
人民政府组织,0.038359,0.578572,0.564174,0.242506,0.605114
卫生行政部门,0.124989,0.477877,0.864046,0.271104,0.126761
科学技术研究,0.038429,0.608113,0.435119,0.190844,0.809984
企业事业组织,0.013117,0.524625,0.441285,0.770950,0.605114
单位或者个人,0.107937,0.624024,0.750053,0.082515,0.328042
监督管理部门,0.185691,0.364768,0.732094,0.215976,0.126761
污染防治措施,0.023431,0.535017,0.460803,0.379630,0.571429
疾病预防控制,0.092382,0.783006,0.105933,0.304348,0.507246
行政强制措施,0.057027,0.619296,0.506629,0.108902,0.571429
循环经济发展,0.064964,0.582960,0.386603,0.594203,0.118442
组织或者个人,0.031191,0.318088,0.517715,0.605114,0.328042
环境保护规划,0.027849,0.660248,0.505992,0.347826,0.304167
环境影响报告,0.178713,0.700472,0.180267,0.347826,0.103659
集体经济组织,0.119775,0.391381,0.715484,0.037146,0.605114
城市人民政府,0.040460,0.454092,0.605940,0.169576,0.376324
经济社会发展,0.042375,0.753016,0.614283,0.305709,0.118442
工业固体废物,0.171764,0.855483,0.623945,0.140459,0.050505
环境保护标准,0.028433,0.453424,0.368466,0.347826,0.307116
人民政府环境,0.162155,0.366366,0.095947,0.242506,0.347826
污染防治工作,0.037774,0.459126,0.486197,0.379630,0.125909
部门负责组织,0.025853,0.377056,0.505933,0.126761,0.605114
煤炭经营企业,0.020015,0.351863,0.578544,0.114155,0.770950
保护主管部门,0.222285,0.192149,0.769343,0.084531,0.126761
行政许可申请,0.079131,0.566143,0.620628,0.108902,0.110656
人民政府负责,0.045040,0.412370,0.525670,0.242506,0.136364
环境保护部门,0.043254,0.280082,0.580164,0.347826,0.126761
气象主管机构,0.114202,0.564208,0.742751,0.102524,0.062372
人民政府批准,0.116978,0.460631,0.393866,0.242506,0.058824
进行监督检查,0.052292,0.735345,0.332946,0.113703,0.204787
国家有关规定,0.162337,0.269931,0.831089,0.097527,0.083333
污染防治标准,0.027019,0.182232,0.468757,0.379630,0.307116
