word,mul_info,left_entropy,right_entropy,head_prob,tail_prob
级人民,0.293891,0.475095,0.132347,0.339286,0.242506
和国家,0.017987,0.770529,0.631446,0.248349,0.097527
项目的,0.036851,0.424601,0.631578,0.230769,0.048673
符合国,0.058416,0.613311,0.115201,0.271605,0.071006
核安全,0.113567,0.811024,0.671619,0.011152,0.109689
和社会,0.051181,0.375829,0.437510,0.015852,0.518587
的人民,0.029803,0.563207,0.220244,0.056452,0.242506
或者不,0.033028,0.818369,0.671198,0.064516,0.041322
的建设,0.047660,0.933991,0.532691,0.016129,0.117526
环境监,0.028948,0.543995,0.199238,0.347826,0.039216
政部门,0.061263,0.168993,0.845916,0.033645,0.126761
的部门,0.086925,0.512613,0.803506,0.008065,0.126761
垃圾处,0.013728,0.201226,0.128293,1.000000,0.086957
规定的,0.205331,0.843268,1.000000,0.083333,0.001613
监督检,0.118662,0.728853,0.033865,0.215976,0.025210
人民政,0.999689,0.497358,0.001321,0.242506,0.096714
向社会,0.046726,0.734410,0.195747,0.004376,0.518587
业生产,0.093356,0.308138,0.620287,0.010301,0.079301
乡规划,0.075040,0.129880,0.539211,0.009050,0.304167
核材料,0.020741,0.658221,0.559652,0.003717,0.489796
业技术,0.018007,0.259858,0.498185,0.011886,0.497288
次会议,0.084980,0.609034,0.344704,0.006173,0.114679
乏燃料,0.006857,0.562757,0.523835,0.037037,0.168539
企业和,0.016849,0.595925,0.495791,0.770950,0.003170
逾期不,0.037222,0.234551,0.484292,0.266667,0.010000
狩猎证,0.004486,0.429867,0.281663,0.800000,0.022727
国人民,0.146360,0.085429,0.114707,0.028241,0.242506
四十五,0.025528,0.179915,0.105351,0.177606,0.107335
资源和,0.012099,0.545374,0.617927,0.196522,0.011111
及其他,0.044599,0.501613,0.865843,0.017699,0.025641
百四十,0.006853,0.175315,0.488991,0.080067,0.177606
活动中,0.014756,0.636690,0.422205,0.301333,0.006726
第十二,0.044366,0.374040,0.232208,0.020408,0.100269
第十一,0.039165,0.373781,0.298639,0.020408,0.083782
域规划,0.005618,0.189774,0.517841,0.044444,0.304167
理工作,0.027569,0.151943,0.226603,0.059051,0.125909
量标准,0.044950,0.084114,0.594452,0.010000,0.307116
用技术,0.007443,0.401665,0.411544,0.010920,0.497288
部门和,0.117227,0.446684,0.690478,0.126761,0.001403
保护和,0.047776,0.743015,0.635991,0.084531,0.003333
的地区,0.010035,0.686232,0.250784,0.016129,0.227468
百三十,0.007392,0.148789,0.565264,0.076382,0.132580
第十三,0.037226,0.358407,0.241751,0.020408,0.090511
务委员,0.141982,0.049077,0.047888,0.034626,0.514658
第三百,0.006053,0.338099,0.150227,0.136054,0.140113
制措施,0.031953,0.182543,0.516320,0.003257,0.571429
的经济,0.008862,0.735432,0.337309,0.008065,0.305709
的建筑,0.017118,0.701208,0.437452,0.016129,0.063230
的人员,0.006392,0.607488,0.514698,0.056452,0.047271
产品和,0.013213,0.624680,0.482372,0.184492,0.007092
的意见,0.029493,0.615259,0.381118,0.008065,0.092141
水工程,0.021182,0.833311,0.637143,0.003774,0.119754
物资源,0.004689,0.334617,0.523835,0.030749,0.196522
市人民,0.148262,0.106350,0.017055,0.076164,0.242506
物保护,0.047070,0.209718,0.440523,0.013369,0.084531
农业生,0.065658,0.787781,0.047407,0.193042,0.010301
野生动,0.175587,0.855661,0.048651,0.066079,0.010081
域环境,0.006155,0.270772,0.377777,0.022222,0.347826
境卫生,0.018645,0.087569,0.541262,0.019608,0.271104
病预防,0.051619,0.183776,0.271909,0.017361,0.104839
度计划,0.010760,0.128350,0.412776,0.034314,0.239852
本行政,0.080237,0.868170,0.082549,0.007435,0.108902
农业科,0.011390,0.723017,0.254655,0.193042,0.011094
社会公,0.041319,0.165440,0.354526,0.518587,0.003440
符合法,0.021895,0.551413,0.073539,0.271605,0.017751
企业经,0.006011,0.439082,0.220479,0.770950,0.009509
组织开,0.025282,0.736571,0.082081,0.605114,0.004587
发展和,0.008064,0.497567,0.637959,0.118442,0.013736
恢复原,0.014141,0.581607,0.050895,0.633333,0.015504
或者有,0.015891,0.579536,0.400421,0.064516,0.016529
和国际,0.001840,0.381827,0.266564,0.248349,0.081565
十九条,0.151091,0.578191,0.233206,0.072678,0.002457
批准后,0.042590,0.478314,0.513841,0.058824,0.005848
合国家,0.046976,0.018508,0.596801,0.071006,0.097527
护措施,0.014436,0.255771,0.497284,0.003333,0.571429
确定的,0.043569,0.585408,0.810921,0.102041,0.001613
止使用,0.018949,0.177237,0.662218,0.011628,0.127119
族自治,0.016528,0.046257,0.043058,0.446224,0.220327
十一条,0.157002,0.590000,0.220740,0.083782,0.001831
的地方,0.017656,0.536225,0.504102,0.016129,0.040057
十三条,0.162251,0.586129,0.230927,0.090511,0.001507
处罚款,0.012686,0.151177,0.302953,0.040984,0.122449
信息公,0.007755,0.461686,0.317062,0.221889,0.010989
处理工,0.001700,0.381827,0.177709,0.405738,0.059051
十六条,0.152623,0.585264,0.208653,0.098587,0.001497
的基本,0.011150,0.646087,0.636943,0.008065,0.072619
生物质,0.006309,0.449676,0.246027,0.074597,0.050802
源保护,0.037955,0.180761,0.602806,0.007407,0.084531
业发展,0.019650,0.396480,0.582673,0.004754,0.118442
的方式,0.013514,0.573052,0.595235,0.008065,0.067657
合规划,0.011475,0.151177,0.482518,0.009862,0.304167
在城市,0.018446,0.426385,0.428108,0.004376,0.169576
品质量,0.010075,0.064393,0.480317,0.037825,0.211679
条规定,0.030806,0.637285,0.333287,0.004545,0.083333
推荐性,0.008990,0.545133,0.163190,0.054852,0.055556
十四条,0.166106,0.584702,0.247422,0.088156,0.001103
机关的,0.017492,0.346294,0.716730,0.074642,0.006803
和服务,0.010214,0.567956,0.583071,0.001321,0.492063
急措施,0.011358,0.162736,0.426348,0.004762,0.571429
产资源,0.058741,0.057689,0.601461,0.005348,0.196522
规定向,0.006698,0.431036,0.493564,0.083333,0.017742
环境与,0.003548,0.317775,0.204159,0.347826,0.026144
管理和,0.012490,0.639103,0.666282,0.387978,0.000968
业资源,0.020689,0.126187,0.608023,0.006339,0.196522
十七条,0.159437,0.577410,0.236992,0.090511,0.000996
的开发,0.008099,0.554726,0.338650,0.008065,0.157262
政府采,0.008808,0.488367,0.139880,0.376324,0.008475
镇人民,0.012938,0.481458,0.118457,0.010582,0.242506
符合规,0.009220,0.481443,0.159234,0.271605,0.009862
资源化,0.009525,0.448571,0.591385,0.196522,0.003704
的领导,0.008478,0.322528,0.352794,0.008065,0.228261
历史文,0.006558,0.525012,0.096597,0.369231,0.014286
生动物,0.153967,0.018140,0.694325,0.010081,0.089686
定国家,0.008301,0.181749,0.663660,0.017742,0.097527
于国家,0.018720,0.297765,0.395900,0.007937,0.097527
社会发,0.054312,0.255672,0.066536,0.518587,0.003440
代履行,0.011101,0.528612,0.634855,0.001511,0.292683
察机关,0.019568,0.135326,0.547695,0.015015,0.074642
技术规,0.015077,0.433849,0.128293,0.497288,0.003883
定标准,0.010210,0.340446,0.469352,0.003226,0.307116
灌溉水,0.001872,0.302591,0.163190,0.154762,0.111111
质量监,0.007118,0.296126,0.174132,0.211679,0.020000
事责任,0.080165,0.053361,0.229650,0.002522,0.623932
组织造,0.003298,0.342209,0.163190,0.605114,0.013761
水行政,0.080334,0.475498,0.113437,0.003235,0.108902
管机构,0.041816,0.098814,0.773666,0.007650,0.062372
业组织,0.007964,0.188093,0.514698,0.003170,0.605114
管理机,0.047377,0.325793,0.049971,0.387978,0.004840
主义和,0.001793,0.381827,0.355419,0.276723,0.021459
土资源,0.004855,0.189210,0.294597,0.026882,0.196522
该行政,0.020386,0.562478,0.111423,0.010204,0.108902
业企业,0.007045,0.361208,0.455904,0.001585,0.770950
与农业,0.003689,0.426869,0.346571,0.013216,0.193042
技术人,0.006048,0.389535,0.150227,0.497288,0.007767
单位不,0.014029,0.627785,0.244206,0.082515,0.007634
功能区,0.034197,0.324565,0.319568,0.194313,0.001953
决定的,0.039597,0.504675,0.478177,0.086093,0.001613
十五条,0.159512,0.582747,0.240081,0.107335,0.000553
查处理,0.010694,0.056792,0.279677,0.018587,0.405738
牲畜圈,0.003298,0.286370,0.177709,0.333333,0.022727
经济和,0.039328,0.376894,0.135249,0.305709,0.002070
品生产,0.006320,0.342209,0.518609,0.014184,0.079301
能产品,0.022627,0.185955,0.413154,0.003906,0.184492
十八条,0.153530,0.576819,0.242246,0.084791,0.000676
部门对,0.023716,0.178083,0.808693,0.126761,0.002805
环境事,0.008425,0.366779,0.169612,0.347826,0.006536
区人民,0.005616,0.175315,0.073539,0.067823,0.242506
害赔偿,0.012175,0.061619,0.429435,0.010989,0.333333
必要的,0.016650,0.553994,0.605608,0.062201,0.003378
第十五,0.027011,0.274661,0.071471,0.020408,0.107335
部门在,0.027595,0.370917,0.635791,0.126761,0.001403
垦耕地,0.006573,0.089538,0.470297,0.028571,0.140845
规划等,0.003371,0.481416,0.397345,0.304167,0.005650
培训和,0.003876,0.342209,0.400136,0.155102,0.013423
