word,mul_info,left_entropy,right_entropy,head_prob,tail_prob
人民代表大会常务委员会,1.000000,0.197446,0.682889,0.242506,0.744538
农民和农业生产经营组织,0.168895,1.000000,0.967426,0.033670,0.605114
人民政府水行政主管部门,0.275246,0.447923,0.853085,0.242506,0.126761
恢复植被和林业生产条件,0.039466,0.675905,0.513349,0.633333,0.259091
部门会同国务院有关部门,0.270819,0.501769,0.677234,0.126761,0.126761
国家放射性污染防治标准,0.064210,0.594712,0.523839,0.097527,0.307116
污染物排放自动监测设备,0.043623,0.267949,0.523237,0.379630,0.244552
级人民政府及其有关部门,0.115205,0.177993,0.627411,0.339286,0.126761
国务院生态环境主管部门,0.362992,0.646203,0.862920,0.018242,0.126761
行政主管部门会同国务院,0.115902,0.644871,0.443350,0.108902,0.127424
污染物排放总量控制指标,0.082990,0.418028,0.572885,0.379630,0.060790
煤矿企业和煤炭经营企业,0.023076,0.262508,0.457693,0.136986,0.770950
国民经济和社会发展规划,0.115957,0.626686,0.600801,0.019821,0.304167
管理部门和其他有关部门,0.029928,0.310601,0.506787,0.387978,0.126761
塑料袋等一次性塑料制品,0.026220,0.411471,0.326481,0.528846,0.114007
国民经济和社会发展计划,0.086055,0.653329,0.649533,0.019821,0.239852
国务院环境保护主管部门,0.136678,0.631805,0.818541,0.018242,0.126761
部门会同国务院生态环境,0.041263,0.267949,0.331529,0.126761,0.347826
由县级以上地方人民政府,0.374583,0.083547,1.000000,0.012821,0.376324
建设项目的环境影响评价,0.076779,0.506010,0.445708,0.117526,0.072165
地区的地方各级人民政府,0.029956,0.159966,0.328347,0.227468,0.376324
污染防治的科学技术研究,0.006336,0.270362,0.238142,0.379630,0.809984
噪声敏感建筑物集中区域,0.042883,0.418735,0.252735,0.437500,0.047319
农业和农村经济发展工作,0.016626,0.540724,0.357214,0.193042,0.125909
价格主管部门会同国务院,0.026739,0.175741,0.426866,0.303644,0.127424
级人民政府卫生行政部门,0.010076,0.428513,0.377447,0.339286,0.126761
煤炭管理部门和有关部门,0.041351,0.391110,0.291580,0.114155,0.126761
国务院有关行政主管部门,0.068947,0.567471,0.714327,0.018242,0.126761
主管部门应当会同国务院,0.091388,0.597012,0.509769,0.017982,0.127424
长江流域水环境质量标准,0.016956,0.405543,0.476285,0.061879,0.307116
级人民政府应当统筹规划,0.010708,0.248272,0.218685,0.339286,0.304167
国务院渔业行政主管部门,0.065663,0.519415,0.744930,0.018242,0.126761
防治监督管理职责的部门,0.103526,0.259199,0.647739,0.026578,0.126761
生态环境等有关主管部门,0.040568,0.496544,0.543211,0.037634,0.126761
重点污染物排放总量控制,0.039075,0.650393,0.129446,0.030263,0.507246
民族自治地方的自治机关,0.047330,0.249254,0.648206,0.083695,0.074642
固体废物污染环境的防治,0.056924,0.726928,0.640299,0.067164,0.026578
从事行政许可事项的活动,0.026542,0.428513,0.377447,0.036145,0.301333
野生动物及其栖息地状况,0.017942,0.405543,0.357214,0.066079,0.233010
