word,mul_info,left_entropy,right_entropy,head_prob,tail_prob
县级以上人民政府,1.000000,0.476904,0.992484,0.026316,0.376324
环境保护主管部门,0.239755,0.526523,0.841391,0.347826,0.126761
土地利用总体规划,0.195505,0.868123,0.815234,0.100358,0.304167
农业生产经营组织,0.142527,0.245877,0.932391,0.193042,0.605114
固体废物污染环境,0.377423,1.000000,0.325389,0.067164,0.347826
农村集体经济组织,0.117589,0.835765,0.747302,0.062851,0.605114
人民政府应当组织,0.051994,0.430008,0.659535,0.242506,0.605114
生态环境主管部门,0.738281,0.599914,0.917536,0.037634,0.126761
地方各级人民政府,0.271457,0.623236,0.691207,0.040057,0.376324
疾病预防控制机构,0.136852,0.759877,0.775122,0.304348,0.062372
人民政府生态环境,0.305157,0.368159,0.138687,0.242506,0.347826
人民政府有关部门,0.123596,0.405908,0.776839,0.242506,0.126761
渔业行政主管部门,0.133912,0.418024,0.831132,0.168000,0.126761
草原行政主管部门,0.170263,0.410002,0.927620,0.071895,0.126761
具体办法由国务院,0.129824,0.226322,0.675705,0.224000,0.127424
档案行政管理部门,0.035663,0.331360,0.584039,0.581818,0.126761
长江流域生态环境,0.075301,0.904249,0.335234,0.061879,0.347826
人民代表大会代表,0.059630,0.298346,0.652664,0.242506,0.160121
海洋行政主管部门,0.156000,0.665136,0.985186,0.031822,0.126761
标准化技术委员会,0.009964,0.421202,0.420571,0.307116,0.744538
农业行政主管部门,0.045200,0.482618,0.741901,0.193042,0.126761
行政主管部门负责,0.063342,0.570156,0.704204,0.108902,0.136364
野生动物及其制品,0.112106,0.651219,0.686193,0.066079,0.114007
人民政府环境保护,0.239447,0.359983,0.206052,0.242506,0.084531
环境影响评价文件,0.144306,0.706881,0.719976,0.347826,0.013498
土地行政主管部门,0.102070,0.309457,0.843094,0.100358,0.126761
城乡规划主管部门,0.142590,0.412328,0.881917,0.047382,0.126761
监督管理权的部门,0.064037,0.210101,0.656249,0.215976,0.126761
十万元以下的罚款,0.315820,0.381629,0.276931,0.056864,0.122449
环境噪声排放标准,0.022781,0.273528,0.325689,0.347826,0.307116
市场监督管理部门,0.061047,0.427118,0.570319,0.112877,0.126761
交通运输主管部门,0.038152,0.384609,0.616391,0.184989,0.126761
土壤污染状况调查,0.065888,0.681685,0.494350,0.055556,0.169492
环境噪声污染防治,0.053665,0.626525,0.606782,0.347826,0.026578
农业生产经营活动,0.015475,0.403995,0.473485,0.193042,0.301333
